member_name,party,constituency,allowance_type,expenditure_type,amount,fees_reference
Aled Roberts,Liberal Democrats,n,Additional Costs Allowance,Hotel Costs,615.0,548930
Aled Roberts,Liberal Democrats,n,Additional Costs Allowance,Second Home Council Tax,7463.959999999999,677578
Aled Roberts,Liberal Democrats,n,Additional Costs Allowance,Second Home Electricity,2191.5699999999997,1768459
Aled Roberts,Liberal Democrats,n,Additional Costs Allowance,Second Home Rental,39704.509999999995,10335255
Aled Roberts,Liberal Democrats,n,Additional Costs Allowance,Second Home Service Charge / Ground Rent,240.0,79022
Aled Roberts,Liberal Democrats,n,Additional Costs Allowance,Second Home TV Licence,436.5,287943
Aled Roberts,Liberal Democrats,n,Mileage,Car Mileage - Non Regular,400.05,194132
Aled Roberts,Liberal Democrats,n,Mileage,Car Mileage - Regular,13843.85,6609742
Aled Roberts,Liberal Democrats,n,Mileage,Parking,78.80000000000001,3554435
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Business Cards,1.24,85746
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Locksmith,113.0,474884
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Membership Fees,18.0,78659
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Mobile Telephone,944.09,3994969
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Cleaning,1750.24,5407684
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Cleaning Materials,231.02999999999997,1294575
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Contents Insurance,1729.6399999999999,1613557
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Electricity,1827.3100000000009,4495190
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Equipment - Lease,480.0,81486
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Equipment - Purchase - IT,286.0,90332
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Equipment - Purchase - Other,6618.7,1649281
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Gas,5110.0599999999995,4729616
Aled Roberts,Liberal Democrats,n,Office Costs Allowance,Office Legal Expenses,529.0,855164
